"YEAR","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","FREQUENCY","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1990,"GOA","TRW",330,29,5,1,"51250",NA
1990,"GOA","TRW",330,31,4,1,"51250",NA
1990,"GOA","TRW",330,37,3,1,"51250",NA
1990,"GOA","TRW",330,38,4,1,"51250",NA
1990,"GOA","TRW",330,40,1,1,"51250",NA
1990,"GOA","TRW",330,44,1,1,"68159",NA
1990,"GOA","TRW",330,43,1,1,"68159",NA
1990,"GOA","TRW",330,41,1,1,"68162",NA
1990,"GOA","TRW",330,42,1,1,"68162",NA
1990,"GOA","TRW",330,44,2,1,"68162",NA
1990,"GOA","TRW",330,35,1,1,"68151",NA
1990,"GOA","TRW",330,41,1,1,"68151",NA
1990,"GOA","TRW",330,43,1,1,"68151",NA
1990,"GOA","TRW",330,43,1,1,"68151",NA
1990,"GOA","TRW",330,44,1,1,"68151",NA
1990,"GOA","TRW",330,28,2,1,"68149",NA
1990,"GOA","TRW",330,44,1,1,"68146",NA
1990,"GOA","TRW",330,45,1,1,"68149",NA
1990,"GOA","TRW",330,30,1,1,"68149",NA
1990,"GOA","TRW",330,37,1,1,"68154",NA
1990,"GOA","TRW",330,42,1,1,"68154",NA
1990,"GOA","TRW",330,34,1,1,"68155",NA
1990,"GOA","TRW",330,44,1,1,"68155",NA
1990,"GOA","TRW",330,46,1,1,"68155",NA
1990,"GOA","TRW",330,42,1,1,"68155",NA
1991,"GOA","TRW",330,37,2,1,"307951",NA
1991,"GOA","TRW",330,39,1,1,"307951",NA
1991,"GOA","TRW",330,40,1,1,"307951",NA
1991,"GOA","TRW",330,45,1,1,"307951",NA
1991,"GOA","TRW",330,31,2,1,"307951",NA
1991,"GOA","TRW",330,32,1,1,"307951",NA
1991,"GOA","TRW",330,33,1,1,"307951",NA
1991,"GOA","TRW",330,34,1,1,"307951",NA
1991,"GOA","TRW",330,35,1,1,"307951",NA
1991,"GOA","TRW",330,36,2,1,"307951",NA
1991,"GOA","TRW",330,29,1,1,"330725",NA
1991,"GOA","TRW",330,30,2,1,"330725",NA
1991,"GOA","TRW",330,31,3,1,"330725",NA
1991,"GOA","TRW",330,32,2,1,"330725",NA
1991,"GOA","TRW",330,33,2,1,"330725",NA
1991,"GOA","TRW",330,34,1,1,"330725",NA
1991,"GOA","TRW",330,35,2,1,"330725",NA
1991,"GOA","TRW",330,36,4,1,"330725",NA
1991,"GOA","TRW",330,37,5,1,"330725",NA
1991,"GOA","TRW",330,38,6,1,"330725",NA
1991,"GOA","TRW",330,39,5,1,"330725",NA
1991,"GOA","TRW",330,40,3,1,"330725",NA
1991,"GOA","TRW",330,41,2,1,"330725",NA
1991,"GOA","TRW",330,42,2,1,"330725",NA
1991,"GOA","TRW",330,41,1,1,"346106",NA
1991,"GOA","TRW",330,43,2,1,"346106",NA
